UNIVERSE,MONTH,YEAR,AGE,TOT_POP,TOT_MALE,TOT_FEMALE,WA_MALE,WA_FEMALE,BA_MALE,BA_FEMALE,IA_MALE,IA_FEMALE,AA_MALE,AA_FEMALE,NA_MALE,NA_FEMALE,TOM_MALE,TOM_FEMALE,WAC_MALE,WAC_FEMALE,BAC_MALE,BAC_FEMALE,IAC_MALE,IAC_FEMALE,AAC_MALE,AAC_FEMALE,NAC_MALE,NAC_FEMALE,NH_MALE,NH_FEMALE,NHWA_MALE,NHWA_FEMALE,NHBA_MALE,NHBA_FEMALE,NHIA_MALE,NHIA_FEMALE,NHAA_MALE,NHAA_FEMALE,NHNA_MALE,NHNA_FEMALE,NHTOM_MALE,NHTOM_FEMALE,NHWAC_MALE,NHWAC_FEMALE,NHBAC_MALE,NHBAC_FEMALE,NHIAC_MALE,NHIAC_FEMALE,NHAAC_MALE,NHAAC_FEMALE,NHNAC_MALE,NHNAC_FEMALE,H_MALE,H_FEMALE,HWA_MALE,HWA_FEMALE,HBA_MALE,HBA_FEMALE,HIA_MALE,HIA_FEMALE,HAA_MALE,HAA_FEMALE,HNA_MALE,HNA_FEMALE,HTOM_MALE,HTOM_FEMALE,HWAC_MALE,HWAC_FEMALE,HBAC_MALE,HBAC_FEMALE,HIAC_MALE,HIAC_FEMALE,HAAC_MALE,HAAC_FEMALE,HNAC_MALE,HNAC_FEMALE
R,1,2015,19,4287933,2200221,2087712,1631749,1539045,335520,323545,32912,31093,113623,110504,5937,5699,80480,77826,1704228,1608990,373920,361710,55487,52971,142620,137909,12476,12151,1716156,1632430,1207835,1140706,311785,301335,18707,17677,108811,105760,4279,4069,64739,62883,1266222,1197413,343358,332765,34525,33130,133265,128821,9345,9097,484065,455282,423914,398339,23735,22210,14205,13416,4812,4744,1658,1630,15741,14943,438006,411577,30562,28945,20962,19841,9355,9088,3131,3054
R,1,2015,20,4376987,2246215,2130772,1658872,1562673,352397,341042,33734,32134,116751,112183,6079,5936,78382,76804,1729141,1631324,389139,378185,56490,54469,144941,139267,12817,12297,1756812,1673565,1229758,1162840,328332,318343,19376,18451,111916,107586,4427,4310,63003,62035,1286296,1218341,358392,348937,35437,34398,135785,130434,9638,9254,489403,457207,429114,399833,24065,22699,14358,13683,4835,4597,1652,1626,15379,14769,442845,412983,30747,29248,21053,20071,9156,8833,3179,3043
R,1,2015,21,4453794,2288997,2164797,1684925,1581216,366505,353324,34674,33020,121374,116570,6292,6003,75227,74664,1751932,1647660,401152,388765,57011,55469,148859,142901,12874,12452,1794085,1706263,1250290,1179775,342134,330582,20022,19436,116628,111897,4515,4388,60496,60185,1304240,1233427,370454,359608,35866,35561,139852,134108,9623,9407,494912,458534,434635,401441,24371,22742,14652,13584,4746,4673,1777,1615,14731,14479,447692,414233,30698,29157,21145,19908,9007,8793,3251,3045
R,1,2015,22,4574678,2354192,2220486,1730805,1621782,378799,362898,36403,33797,127571,122979,6471,6125,74143,72905,1796622,1686516,411522,396160,59396,56390,155101,149368,13081,12591,1848470,1755044,1286668,1214110,354032,339597,21048,19933,122709,118250,4676,4447,59337,58707,1339343,1266298,380406,366665,37364,36158,146170,140670,9877,9473,505722,465442,444137,407672,24767,23301,15355,13864,4862,4729,1795,1678,14806,14198,457279,420218,31116,29495,22032,20232,8931,8698,3204,3118
R,1,2015,23,4658829,2380807,2278022,1748485,1657740,380699,373493,37278,33767,136729,133884,7177,6566,70439,72572,1810226,1721232,411147,406267,59415,56065,163440,161279,14001,13424,1878907,1815279,1309541,1254942,355203,348588,21468,20136,131688,128736,5195,4784,55812,58093,1358415,1305755,379353,374902,36982,36017,154335,151935,10567,10153,501900,462743,438944,402798,25496,24905,15810,13631,5041,5148,1982,1782,14627,14479,451811,415477,31794,31365,22433,20048,9105,9344,3434,3271
R,1,2015,24,4747831,2421743,2326088,1785278,1696558,378814,375171,36970,33548,145821,144321,7547,6911,67313,69579,1844006,1757423,406704,406108,58440,55078,172443,170869,14243,13593,1916003,1865902,1343194,1296311,352943,349946,20885,19955,140464,139143,5443,5097,53074,55450,1389330,1344753,374787,374657,35837,35150,163158,161653,10697,10352,505740,460186,442084,400247,25871,25225,16085,13593,5357,5178,2104,1814,14239,14129,454676,412670,31917,31451,22603,19928,9285,9216,3546,3241
R,1,2015,25,4605204,2345215,2259989,1733714,1645710,360632,361514,35609,31962,145697,149043,7649,6771,61914,64989,1787875,1702432,385833,389961,55529,52293,170090,174023,13822,13044,1861688,1821295,1311017,1263901,335983,337423,19958,19161,140549,143992,5536,5056,48645,51762,1353469,1308949,355571,360015,33830,33505,161299,165328,10398,10066,483527,438694,422697,381809,24649,24091,15651,12801,5148,5051,2113,1715,13269,13227,434406,393483,30262,29946,21699,18788,8791,8695,3424,2978
R,1,2015,26,4478869,2275291,2203578,1693241,1611071,334438,339826,34431,30906,148234,154132,7366,6772,57581,60871,1743315,1664106,357305,365929,53103,49971,171305,178030,13262,12693,1801325,1777537,1277990,1240078,310993,316484,18956,18235,143305,149198,5304,5073,44777,48469,1316822,1282233,328388,336970,31672,31772,162952,169646,9975,9792,473966,426041,415251,370993,23445,23342,15475,12671,4929,4934,2062,1699,12804,12402,426493,381873,28917,28959,21431,18199,8353,8384,3287,2901
R,1,2015,27,4368502,2219985,2148517,1667682,1580569,314917,322753,33101,29746,142721,150485,7405,6466,54159,58498,1714642,1631627,336322,347416,50921,48292,164421,173486,13154,12288,1752659,1730885,1256837,1216314,292741,300223,18003,17415,137981,145877,5275,4818,41822,46238,1292910,1256586,308914,319421,30041,30418,156400,165585,9809,9430,467326,417632,410845,364255,22176,22530,15098,12331,4740,4608,2130,1648,12337,12260,421732,375041,27408,27995,20880,17874,8021,7901,3345,2858
R,1,2015,28,4335325,2198195,2137130,1661601,1579001,303234,315344,32617,29296,141664,151117,7298,6490,51781,55882,1706722,1627503,322981,338770,50042,47766,162523,172954,12710,11974,1732004,1720677,1251265,1215503,281473,292846,17464,16898,136953,146636,5141,4795,39708,43999,1285742,1253546,296081,311053,29182,29806,154636,165276,9413,9180,466191,416453,410336,363498,21761,22498,15153,12398,4711,4481,2157,1695,12073,11883,420980,373957,26900,27717,20860,17960,7887,7678,3297,2794
